Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST23
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-3000 km): 409 (12) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
      80       9
        946.73      61131.95        6.37       33.39    1.7405e+18    1.4091e+17      185.95       13.45    1.8315e+18      179.74
        978.27      61163.90        6.36       33.46    1.1966e+18    7.5081e+16      191.62       10.36    1.1920e+18      192.94
       1010.37      61195.89        6.36       33.54    8.1346e+17    5.4640e+16      200.21        7.64    7.9285e+17      206.46
       1042.17      61227.88        6.35       33.61    5.6387e+17    3.8819e+16      212.59        8.73    5.4338e+17      219.84
       1073.66      61259.88        6.34       33.68    3.8790e+17    2.7303e+16      227.35        9.11    3.8241e+17      232.95
       1105.70      61291.89        6.34       33.75    2.7865e+17    1.9709e+16      236.26       10.47    2.7315e+17      246.05
       1137.44      61323.92        6.33       33.82    2.1452e+17    1.4865e+16      233.38       10.40    1.9944e+17      258.67
       1169.30      61355.95        6.32       33.89    1.5869e+17    1.1355e+16      254.11       11.28    1.4791e+17      270.91
       1200.85      61388.00        6.31       33.96    9.5917e+16    7.9104e+15      307.94       14.78    1.1166e+17      282.52
       1232.96      61420.05        6.31       34.03    6.9955e+16    6.1649e+15      342.42       17.56    8.5040e+16      293.76
       1264.76      61452.12        6.30       34.11    6.5794e+16    5.0043e+15      316.50       16.38    6.5732e+16      304.27
       1296.25      61484.20        6.29       34.18    5.6311e+16    4.1071e+15      297.12       14.56    5.1486e+16      314.02
       1328.29      61516.29        6.28       34.25    4.1401e+16    3.1404e+15      316.30       15.50    4.0550e+16      323.28
       1360.03      61548.39        6.28       34.32    3.1212e+16    2.5189e+15      343.85       17.66    3.2292e+16      331.77
       1391.88      61580.51        6.27       34.39    2.5393e+16    2.1398e+15      352.87       18.89    2.5895e+16      339.62
       1423.86      61612.63        6.26       34.46    2.1038e+16    1.8094e+15      358.01       21.38    2.0895e+16      346.85
       1455.96      61644.77        6.26       34.53    1.6566e+16    1.5633e+15      373.47       21.13    1.6953e+16      353.46
       1487.75      61676.91        6.25       34.60    1.3254e+16    1.3190e+15      394.20       24.62    1.3860e+16      359.41
       1519.66      61709.07        6.24       34.67    1.0954e+16    1.0923e+15      407.44       26.74    1.1380e+16      364.81
       1551.69      61741.24        6.23       34.74    9.3689e+15    9.8690e+14      394.42       27.09    9.3779e+15      369.70
       1583.85      61773.42        6.23       34.82    8.8621e+15    9.4859e+14      356.54       23.83    7.7535e+15      374.12
       1615.68      61805.61        6.22       34.89    8.0565e+15    8.0213e+14      327.39       22.23    6.4452e+15      378.03
       1647.64      61837.81        6.21       34.96    6.3176e+15    7.1643e+14      344.87       25.38    5.3708e+15      381.54
       1679.72      61870.02        6.20       35.03    4.5239e+15    5.9892e+14      376.52       31.19    4.4850e+15      384.69
       1711.48      61902.24        6.20       35.10    3.9087e+15    5.6668e+14      377.67       33.68    3.7614e+15      387.46
       1743.81      61934.48        6.19       35.17    3.3485e+15    4.9823e+14      371.66       27.68    3.1517e+15      389.97
       1775.81      61966.72        6.18       35.24    2.4803e+15    4.3058e+14      389.75       28.93    2.6509e+15      392.17
       1807.49      61998.98        6.18       35.31    2.4194e+15    4.1788e+14      410.10       28.36    2.2374e+15      394.10
       1839.74      62031.24        6.17       35.38    2.3728e+15    3.8479e+14      407.98       22.70    1.8858e+15      395.84
       1871.66      62063.52        6.16       35.45    1.9438e+15    3.3906e+14      404.88       22.42    1.5944e+15      397.36
       1903.70      62095.81        6.15       35.52    1.3058e+15    2.9812e+14      404.41       20.25    1.3489e+15      398.70
       1935.87      62128.11        6.15       35.59    8.8544e+14    2.6949e+14      404.57       20.33    1.1418e+15      399.90
       1968.16      62160.42        6.14       35.66    8.7577e+14    2.6978e+14      404.76       19.09    9.6692e+14      400.95
       2000.11      62192.74        6.13       35.74    8.6569e+14    2.4630e+14      404.90       18.92    8.2097e+14      401.87
       2032.19      62225.07        6.13       35.81    7.4893e+14    2.1950e+14      404.95       19.10    6.9721e+14      402.68
       2064.39      62257.41        6.12       35.88    5.7671e+14    2.0077e+14      405.11       19.16    5.9221e+14      403.40
       2096.26      62289.77        6.11       35.95    4.4432e+14    1.7246e+14      405.21       19.79    5.0421e+14      404.02
       2128.70      62322.13        6.10       36.02    4.3584e+14    1.6785e+14      405.38       20.53    4.2833e+14      404.58
       2160.81      62354.50        6.10       36.09    2.5227e+14    9.6907e+13      405.35       22.24    3.6469e+14      405.06
       2193.05      62386.89        6.09       36.16    2.4339e+14    4.9717e+13      405.74       24.28    3.1049e+14      405.49
       2224.94      62419.28        6.08       36.23    0.0000e+00    0.0000e+00      405.87       27.38    2.6492e+14      405.86
       2257.41      62451.69        6.08       36.30    0.0000e+00    0.0000e+00      406.07       29.37    2.2550e+14      406.19
       2289.55      62484.11        6.07       36.37    0.0000e+00    0.0000e+00      406.25       28.47    1.9234e+14      406.48
       2321.81      62516.53        6.06       36.44    0.0000e+00    0.0000e+00      406.52       30.86    1.6404e+14      406.73
       2354.19      62548.97        6.05       36.51    0.0000e+00    0.0000e+00      406.73       31.96    1.3987e+14      406.95
       2386.22      62581.42        6.05       36.58    0.0000e+00    0.0000e+00      407.03       35.19    1.1950e+14      407.14
       2418.38      62613.88        6.04       36.65    0.0000e+00    0.0000e+00      407.43       38.55    1.0207e+14      407.31
       2450.66      62646.35        6.03       36.72    0.0000e+00    0.0000e+00      407.57       43.29    8.7167e+13      407.46
       2483.06      62678.83        6.03       36.79    0.0000e+00    0.0000e+00      407.96       45.46    7.4417e+13      407.59
       2515.11      62711.32        6.02       36.86    0.0000e+00    0.0000e+00      408.26       46.77    6.3658e+13      407.71
       2547.75      62743.82        6.01       36.93    0.0000e+00    0.0000e+00      408.46       53.45    5.4315e+13      407.81
