Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST92
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2800 km): 576 (21) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
     147       9
        685.91      55834.53       66.41       65.88    4.4341e+18    2.6185e+17      203.36       10.80    4.4158e+18      208.64
        701.72      55850.52       66.41       65.79    3.5563e+18    1.4476e+17      205.75        8.23    3.4216e+18      219.35
        717.54      55866.52       66.41       65.70    2.7292e+18    1.1299e+17      219.21        8.32    2.6862e+18      229.83
        733.38      55882.51       66.41       65.61    2.1201e+18    9.7482e+16      233.56       10.17    2.1336e+18      240.07
        749.22      55898.51       66.40       65.51    1.6954e+18    8.4255e+16      244.11       11.63    1.7125e+18      250.07
        765.00      55914.51       66.40       65.42    1.3839e+18    7.1631e+16      251.75       12.16    1.3888e+18      259.79
        780.86      55930.50       66.40       65.33    1.1334e+18    5.9533e+16      263.71        4.78    1.1349e+18      269.33
        796.67      55946.50       66.40       65.24    9.3384e+17    5.0354e+16      277.42        5.46    9.3547e+17      278.59
        812.48      55962.50       66.40       65.14    7.5785e+17    4.3911e+16      289.75        5.97    7.7651e+17      287.63
        828.30      55978.49       66.39       65.05    6.1825e+17    3.8849e+16      299.06        6.46    6.4873e+17      296.44
        844.13      55994.49       66.39       64.96    5.0985e+17    3.3967e+16      305.30        6.55    5.4520e+17      305.03
        859.97      56010.49       66.39       64.87    4.3593e+17    2.8582e+16      312.34        7.31    4.6071e+17      313.40
        875.75      56026.49       66.39       64.78    3.8193e+17    2.4083e+16      321.66        7.76    3.9155e+17      321.52
        891.62      56042.48       66.39       64.68    3.4173e+17    2.1558e+16      332.42        7.71    3.3410e+17      329.47
        907.42      56058.48       66.38       64.59    3.0535e+17    1.8972e+16      341.97        7.88    2.8652e+17      337.17
        923.23      56074.48       66.38       64.50    2.5147e+17    1.7144e+16      345.95        8.12    2.4670e+17      344.67
        939.12      56090.48       66.38       64.41    1.9758e+17    1.4716e+16      345.32        9.17    2.1307e+17      352.00
        954.88      56106.48       66.38       64.31    1.7014e+17    1.3255e+16      347.06        9.39    1.8491e+17      359.07
        970.72      56122.47       66.37       64.22    1.5759e+17    1.2160e+16      356.56        9.59    1.6090e+17      365.97
