Count	ST	Type	B	EUVlabel	FUVlabel
77
1	1	2	1	2005_103_16_34	2005_103_16_34
2	2	2	0	2006_079_00_42	2006_079_00_42
3	3	3	0	2006_079_02_00	2006_079_02_00
4	4	2	0	2006_079_04_39	2006_079_04_39
5	5	2	0	2006_079_05_32	2006_079_05_32
6	9	3	0	2006_141_20_56	2006_141_20_56
7	10	2	0	2006_141_22_12	2006_141_22_12
8	12	2	0	2006_142_01_05	2006_142_01_05
9	13	2	0	2006_142_01_41	2006_142_01_41
10	16	2	0	2007_202_03_01	2007_202_03_01
11	17	3	0	2007_202_05_06	2007_202_05_06
12	18	2	0	2007_202_05_54	2007_202_05_54
13	20	2	0	2007_202_06_37	2007_202_06_37
14	23	2	0	2008_188_23_30	2008_188_23_30
15	24	2	1	2008_203_01_17	2008_203_01_17
16	26	2	0	2008_261_02_15	2008_261_02_15
17	27	0	0	2008_275_15_55	2008_275_15_54
18	28	2	1	2008_290_12_02	2008_290_12_02
19	30	2	1	2008_351_19_08	2008_351_19_07
20	31	2	1	2008_351_22_39	2008_351_22_38
21	32	2	1	2009_003_04_20	2009_003_04_19
22	33	2	0	2009_022_04_39	2009_022_04_38
23	34	2	1	2009_022_08_00	2009_022_07_59
24	35	2	0	2009_031_22_00	2009_031_22_00
25	36	0	0	2009_163_15_02	2009_163_15_02
26	37	2	1	2010_186_11_07	2010_186_11_07
27	39	2	1	2012_247_07_26	2012_247_07_25
28	40	3	0	2013_069_15_19	2013_069_15_19
29	41	2	0	2013_141_05_36	2013_141_05_36
30	42	2	1	2014_276_06_17	2014_276_06_17
31	44	2	2	2015_008_09_20	2015_008_09_20
32	46	2	1	2015_049_21_10	2015_049_22_14
33	47	2	0	2015_050_18_07	2015_050_18_07
34	48	2	1	2015_274_09_23_1	2015_274_09_23_1
35	49	2	1	2015_274_09_23_2	2015_274_09_23_2
36	50	2	1	2015_274_09_23_3	2015_274_09_23_3
37	51	2	1	2015_274_16_35	2015_274_16_35
38	52	2	1	2015_288_06_54_1	2015_288_06_54_1
39	53	2	1	2015_288_06_54_2	2015_288_06_54_2
40	54	2	1	2015_288_06_54_3	2015_288_06_54_3
41	55	2	1	2015_302_11_45	2015_302_11_45
42	56	2	1	2015_328_17_23_1	2015_328_17_23_1
43	58	0	0	2015_341_17_15	2015_341_17_15
44	59	2	1	2015_354_11_09	2015_354_11_09
45	60	0	0	2016_014_21_05	2016_014_21_05
46	61	1	0	2016_045_02_15	2016_045_02_15
47	62	1	0	2016_045_08_50	2016_045_08_50
48	63	1	0	2016_046_23_30	2016_046_23_30
49	64	0	0	2016_094_18_01	2016_094_18_01
50	65	0	0	2016_296_06_40	2016_296_06_40
51	66	0	0	2016_339_04_47	2016_339_04_47
52	67	0	0	2016_353_13_13	2016_353_13_13
53	68	0	0	2017_009_00_55	2017_009_00_55
54	69	0	0	2017_087_21_53	2017_087_21_53
55	72	0	0	2017_175_19_31_30	2017_175_20_40_36
56	73	0	0	2017_175_20_36_30	2017_175_20_36_30
57	77	0	0	2017_182_06_15_06	2017_182_06_15_06
58	79	0	0	2017_182_20_40_36	2017_182_20_40_36
59	80	0	0	2017_183_00_47_35	2017_183_00_47_35
60	81	0	0	2017_185_17_28_06	2017_185_17_28_06
61	82	0	0	2017_188_17_43_05	2017_188_17_43_05
62	83	0	0	2017_188_20_24_36	2017_188_20_24_36
63	85	0	0	2017_192_06_25_05	2017_192_06_25_05
64	86	0	0	2017_194_14_52_16	2017_194_14_52_16
65	87	0	0	2017_195_02_00_06	2017_195_02_00_06
66	88	0	0	2017_195_05_17_25	2017_195_05_17_25
67	89	0	0	2017_195_08_35_55	2017_195_08_35_55
68	90	0	0	2017_195_21_44_06	2017_195_21_44_06
69	92	0	0	2017_198_18_21_06	2017_198_18_21_06
70	94	0	0	2017_201_21_41_06	2017_201_21_41_06
71	95	0	0	2017_202_09_04_05	2017_202_09_04_05
72	96	0	0	2017_202_11_31_05	2017_202_11_31_05
73	97	0	0	2017_202_21_18_45	2017_202_21_18_45
74	98	0	0	2017_205_05_21_26	2017_205_05_21_26
75	99	0	0	2017_209_09_02_05	2017_209_09_02_05
76	100	0	0	2017_210_04_22_06	2017_210_04_22_06
77	101	0	0	2017_216_16_10_45	2017_216_16_10_45
