altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
800.07,1.116527584846816e-08,1.089795006009126e-08,3.2556e+18,382.59,80.82,-69.0,55286.55,INV,ST101,EUV2017_216_16_10_45_ST101
813.49,1.0856958395839676e-08,1.0597014530418632e-08,3.1657e+18,355.83,80.82,-69.11,55300.21,INV,ST101,EUV2017_216_16_10_45_ST101
827.06,9.740293628589022e-09,9.507085626509763e-09,2.8401e+18,356.98,80.82,-69.22,55313.86,INV,ST101,EUV2017_216_16_10_45_ST101
840.64,8.379101226495087e-09,8.178483716308811e-09,2.4432e+18,374.5,80.81,-69.33,55327.52,INV,ST101,EUV2017_216_16_10_45_ST101
854.22,7.63111416956214e-09,7.4484054179595355e-09,2.2251e+18,371.88,80.81,-69.44,55341.17,INV,ST101,EUV2017_216_16_10_45_ST101
867.79,6.829283019122327e-09,6.66577219396109e-09,1.9913e+18,375.88,80.8,-69.55,55354.83,INV,ST101,EUV2017_216_16_10_45_ST101
881.2,6.306961016504775e-09,6.155955940689221e-09,1.839e+18,371.49,80.8,-69.66,55368.48,INV,ST101,EUV2017_216_16_10_45_ST101
894.76,5.837797195374893e-09,5.698025123567804e-09,1.7022e+18,372.22,80.8,-69.77,55382.14,INV,ST101,EUV2017_216_16_10_45_ST101
908.33,5.210187697810796e-09,5.085442232243102e-09,1.5192e+18,367.84,80.79,-69.87,55395.79,INV,ST101,EUV2017_216_16_10_45_ST101
921.89,4.510900394240745e-09,4.4028976883026275e-09,1.3153e+18,362.93,80.79,-69.98,55409.45,INV,ST101,EUV2017_216_16_10_45_ST101
935.45,4.09215110652175e-09,3.9941743493368015e-09,1.1932e+18,360.65,80.78,-70.09,55423.11,INV,ST101,EUV2017_216_16_10_45_ST101
949.01,3.9590841747977775e-09,3.864293386585991e-09,1.1544e+18,360.45,80.78,-70.2,55436.77,INV,ST101,EUV2017_216_16_10_45_ST101
962.57,3.701181255580181e-09,3.6125653350689543e-09,1.0792e+18,362.95,80.78,-70.31,55450.43,INV,ST101,EUV2017_216_16_10_45_ST101
976.12,3.1899710276736006e-09,3.113594811676276e-09,9.3014e+17,365.24,80.77,-70.42,55464.09,INV,ST101,EUV2017_216_16_10_45_ST101
989.68,2.741933296734947e-09,2.6762842711152975e-09,7.995e+17,365.88,80.77,-70.53,55477.74,INV,ST101,EUV2017_216_16_10_45_ST101
1003.23,2.4385887062456334e-09,2.380202540308358e-09,7.1105e+17,366.09,80.77,-70.64,55491.4,INV,ST101,EUV2017_216_16_10_45_ST101
1016.77,2.176913270922461e-09,2.1247922965483866e-09,6.3475e+17,369.58,80.76,-70.75,55505.06,INV,ST101,EUV2017_216_16_10_45_ST101
1030.32,2.0026573224457847e-09,1.9547084893997083e-09,5.8394e+17,375.1,80.76,-70.85,55518.73,INV,ST101,EUV2017_216_16_10_45_ST101
1043.86,1.8612908552895441e-09,1.8167267037144394e-09,5.4272e+17,377.85,80.75,-70.96,55532.39,INV,ST101,EUV2017_216_16_10_45_ST101
1057.4,1.6873092716205462e-09,1.6469106923652473e-09,4.9199e+17,374.22,80.75,-71.07,55546.05,INV,ST101,EUV2017_216_16_10_45_ST101
1070.94,1.511578612302599e-09,1.4753874827943306e-09,4.4075e+17,368.7,80.75,-71.18,55559.71,INV,ST101,EUV2017_216_16_10_45_ST101
1084.48,1.3444218532245986e-09,1.312232891957358e-09,3.9201e+17,363.09,80.74,-71.29,55573.37,INV,ST101,EUV2017_216_16_10_45_ST101
1098.02,1.2355333201772758e-09,1.205951434036269e-09,3.6026e+17,359.28,80.74,-71.4,55587.04,INV,ST101,EUV2017_216_16_10_45_ST101
1111.55,1.1489026321528546e-09,1.1213949103484986e-09,3.35e+17,357.39,80.73,-71.51,55600.7,INV,ST101,EUV2017_216_16_10_45_ST101
1125.08,1.0731779452336457e-09,1.047483269690305e-09,3.1292e+17,357.63,80.73,-71.62,55614.36,INV,ST101,EUV2017_216_16_10_45_ST101
1138.77,9.397680575000753e-10,9.172675621901361e-10,2.7402e+17,363.45,80.73,-71.72,55628.03,INV,ST101,EUV2017_216_16_10_45_ST101
1152.29,8.263868007270205e-10,8.066009480524604e-10,2.4096e+17,373.29,80.72,-71.83,55641.69,INV,ST101,EUV2017_216_16_10_45_ST101
1165.82,7.106048518867805e-10,6.935911206692803e-10,2.072e+17,381.88,80.72,-71.94,55655.36,INV,ST101,EUV2017_216_16_10_45_ST101
1179.34,6.286040699919306e-10,6.135536510978397e-10,1.8329e+17,388.06,80.71,-72.05,55669.03,INV,ST101,EUV2017_216_16_10_45_ST101
1192.86,5.402243063185602e-10,5.272899291883448e-10,1.5752e+17,392.19,80.71,-72.16,55682.69,INV,ST101,EUV2017_216_16_10_45_ST101
1206.54,4.666602422598177e-10,4.554871804511051e-10,1.3607e+17,399.4,80.71,-72.27,55696.36,INV,ST101,EUV2017_216_16_10_45_ST101
1220.05,4.5698888278915786e-10,4.4604737851921625e-10,1.3325e+17,412.02,80.7,-72.37,55710.03,INV,ST101,EUV2017_216_16_10_45_ST101
1233.57,4.530791842797422e-10,4.422312883765378e-10,1.3211e+17,419.57,80.7,-72.48,55723.69,INV,ST101,EUV2017_216_16_10_45_ST101
1247.08,4.0293901567653403e-10,3.9329160602043317e-10,1.1749e+17,420.26,80.69,-72.59,55737.36,INV,ST101,EUV2017_216_16_10_45_ST101
1260.75,3.3317833376423183e-10,3.25201176553571e-10,9.7149e+16,421.1,80.69,-72.7,55751.03,INV,ST101,EUV2017_216_16_10_45_ST101
1274.26,2.718749470486131e-10,2.653655526058713e-10,7.9274e+16,422.43,80.69,-72.81,55764.7,INV,ST101,EUV2017_216_16_10_45_ST101
