altitude_km,density_kg_m3,temperature_K,pressure_Pa,source
1028.600,2.5820e-11,900.30,9.6650e-05,upperatm
1028.100,2.5900e-11,900.60,9.6970e-05,upperatm
1023.800,2.6530e-11,902.70,9.9530e-05,upperatm
1018.300,2.7380e-11,903.50,1.0280e-04,upperatm
1012.900,2.8310e-11,902.80,1.0620e-04,upperatm
1007.500,2.9310e-11,901.00,1.0970e-04,upperatm
1002.100,3.0380e-11,898.10,1.1330e-04,upperatm
996.770,3.1490e-11,895.10,1.1710e-04,upperatm
991.400,3.2680e-11,891.40,1.2100e-04,upperatm
986.040,3.3900e-11,888.00,1.2500e-04,upperatm
980.690,3.5180e-11,884.40,1.2920e-04,upperatm
975.340,3.6510e-11,880.90,1.3350e-04,upperatm
970.010,3.7880e-11,877.50,1.3800e-04,upperatm
964.690,3.9290e-11,874.60,1.4260e-04,upperatm
959.370,4.0750e-11,871.90,1.4740e-04,upperatm
954.070,4.2230e-11,869.90,1.5240e-04,upperatm
948.770,4.3750e-11,868.00,1.5750e-04,upperatm
943.480,4.5300e-11,866.80,1.6280e-04,upperatm
938.200,4.6900e-11,865.70,1.6830e-04,upperatm
932.930,4.8520e-11,865.20,1.7400e-04,upperatm
927.670,5.0170e-11,865.00,1.7990e-04,upperatm
922.420,5.1860e-11,865.10,1.8590e-04,upperatm
917.180,5.3570e-11,865.70,1.9220e-04,upperatm
911.950,5.5330e-11,866.40,1.9860e-04,upperatm
906.720,5.7120e-11,867.40,2.0520e-04,upperatm
901.510,5.8950e-11,868.70,2.1210e-04,upperatm
896.300,6.0810e-11,870.20,2.1910e-04,upperatm
891.110,6.2740e-11,871.60,2.2640e-04,upperatm
885.920,6.4690e-11,873.30,2.3390e-04,upperatm
880.740,6.6710e-11,874.90,2.4160e-04,upperatm
875.570,6.8770e-11,876.70,2.4950e-04,upperatm
870.410,7.0890e-11,878.40,2.5770e-04,upperatm
865.260,7.3080e-11,879.90,2.6610e-04,upperatm
860.120,7.5340e-11,881.40,2.7470e-04,upperatm
854.990,7.7670e-11,882.70,2.8360e-04,upperatm
849.870,8.0090e-11,883.80,2.9270e-04,upperatm
844.750,8.2600e-11,884.70,3.0220e-04,upperatm
839.650,8.5210e-11,885.30,3.1190e-04,upperatm
834.550,8.7920e-11,885.50,3.2190e-04,upperatm
829.470,9.0760e-11,885.50,3.3220e-04,upperatm
824.390,9.3720e-11,885.00,3.4280e-04,upperatm
819.320,9.6810e-11,884.30,3.5370e-04,upperatm
814.260,1.0000e-10,883.10,3.6500e-04,upperatm
809.210,1.0350e-10,881.40,3.7670e-04,upperatm
804.170,1.0700e-10,879.20,3.8870e-04,upperatm
799.140,1.1080e-10,876.70,4.0110e-04,upperatm
794.120,1.1470e-10,873.80,4.1400e-04,upperatm
789.100,1.1900e-10,870.10,4.2730e-04,upperatm
784.100,1.2340e-10,866.00,4.4100e-04,upperatm
779.100,1.2810e-10,861.40,4.5530e-04,upperatm
774.120,1.3300e-10,856.40,4.7010e-04,upperatm
769.140,1.3830e-10,851.00,4.8540e-04,upperatm
764.170,1.4380e-10,845.20,5.0130e-04,upperatm
759.220,1.4970e-10,839.00,5.1780e-04,upperatm
754.270,1.5590e-10,832.50,5.3500e-04,upperatm
749.330,1.6240e-10,825.70,5.5290e-04,upperatm
744.400,1.6940e-10,818.60,5.7150e-04,upperatm
739.480,1.7670e-10,811.20,5.9080e-04,upperatm
734.570,1.8450e-10,803.60,6.1100e-04,upperatm
729.660,1.9320e-10,794.20,6.3200e-04,upperatm
724.770,2.0230e-10,785.00,6.5400e-04,upperatm
719.880,2.1190e-10,775.90,6.7700e-04,upperatm
715.010,2.2210e-10,766.90,7.0110e-04,upperatm
710.140,2.3270e-10,758.10,7.2630e-04,upperatm
705.290,2.4390e-10,749.70,7.5260e-04,upperatm
700.440,2.5570e-10,741.70,7.8020e-04,upperatm
695.600,2.6790e-10,734.10,8.0900e-04,upperatm
690.770,2.8070e-10,727.10,8.3920e-04,upperatm
685.950,2.9400e-10,720.40,8.7070e-04,upperatm
681.140,3.0790e-10,714.00,9.0370e-04,upperatm
676.340,3.2230e-10,708.50,9.3810e-04,upperatm
671.550,3.3730e-10,703.30,9.7410e-04,upperatm
666.770,3.5280e-10,698.60,1.0120e-03,upperatm
661.990,3.6890e-10,694.30,1.0510e-03,upperatm
657.230,3.8550e-10,690.50,1.0920e-03,upperatm
652.470,4.0270e-10,687.10,1.1350e-03,upperatm
647.730,4.2040e-10,684.20,1.1790e-03,upperatm
642.990,4.3870e-10,681.60,1.2260e-03,upperatm
638.260,4.5760e-10,679.50,1.2740e-03,upperatm
633.540,4.7710e-10,677.70,1.3240e-03,upperatm
628.840,4.9710e-10,676.30,1.3760e-03,upperatm
624.140,5.1780e-10,675.20,1.4310e-03,upperatm
619.450,5.3900e-10,674.40,1.4870e-03,upperatm
614.770,5.6290e-10,671.60,1.5460e-03,upperatm
610.090,5.8740e-10,669.30,1.6080e-03,upperatm
605.430,6.1070e-10,669.60,1.6710e-03,upperatm
600.780,6.3490e-10,669.80,1.7370e-03,upperatm
596.140,6.5990e-10,670.20,1.8060e-03,upperatm
591.500,6.8600e-10,670.50,1.8770e-03,upperatm
586.880,7.1320e-10,670.60,1.9510e-03,upperatm
582.260,7.4180e-10,670.50,2.0280e-03,upperatm
577.650,7.7170e-10,670.10,2.1080e-03,upperatm
573.060,8.0350e-10,669.30,2.1900e-03,upperatm
568.470,8.3710e-10,667.90,2.2760e-03,upperatm
563.890,8.7300e-10,666.00,2.3660e-03,upperatm
559.320,9.1120e-10,663.60,2.4590e-03,upperatm
554.760,9.5240e-10,660.30,2.5560e-03,upperatm
550.210,9.9680e-10,656.20,2.6580e-03,upperatm
545.670,1.0450e-09,651.30,2.7640e-03,upperatm
541.140,1.0990e-09,645.00,2.8750e-03,upperatm
536.610,1.1620e-09,635.00,2.9920e-03,upperatm
532.100,1.2290e-09,625.80,3.1150e-03,upperatm
527.590,1.3030e-09,615.50,3.2450e-03,upperatm
523.100,1.3870e-09,603.50,3.3840e-03,upperatm
518.610,1.4810e-09,590.30,3.5310e-03,upperatm
514.140,1.5830e-09,577.30,3.6880e-03,upperatm
509.670,1.6900e-09,565.80,3.8550e-03,upperatm
505.210,1.8010e-09,555.90,4.0330e-03,upperatm
500.760,1.9160e-09,547.30,4.2230e-03,upperatm
496.330,2.0350e-09,540.60,4.4240e-03,upperatm
491.900,2.1500e-09,536.80,4.6360e-03,upperatm
487.480,2.2710e-09,533.60,4.8600e-03,upperatm
483.070,2.3800e-09,534.40,5.0950e-03,upperatm
478.660,2.4880e-09,536.40,5.3410e-03,upperatm
474.270,2.6020e-09,538.40,5.5970e-03,upperatm
469.890,2.7250e-09,539.40,5.8640e-03,upperatm
